treatment,game,round,time,id,side,valuation,bid,price,match_id,match_time,type,status
BBLimS,1,1,4,4,Seller,78,99,99.0,3.0,5.0,Manual,Accepted
BBLimS,1,1,4,7,Buyer,113,90,90.0,0.0,6.0,Manual,Accepted
BBLimS,1,1,4,6,Buyer,118,5,,,,Manual,Expired
BBLimS,1,1,4,2,Seller,73,145,,,,Manual,Expired
BBLimS,1,1,5,3,Buyer,128,115,99.0,4.0,5.0,Manual,Replaced
BBLimS,1,1,5,9,Buyer,108,25,,,,Manual,Expired
BBLimS,1,1,6,0,Seller,63,75,90.0,7.0,6.0,Manual,Replaced
BBLimS,1,1,6,10,Buyer,103,45,,,,Manual,Expired
BBLimS,1,1,11,1,Buyer,138,25,,,,Manual,Expired
BBLimS,1,1,12,5,Seller,83,84,,,,Manual,Expired
BBLimS,1,1,17,10,Buyer,103,25,,,,Manual,Replaced
BBLimS,1,1,18,6,Buyer,118,10,,,,Manual,Expired
BBLimS,1,1,22,10,Buyer,103,75,,,,Manual,Expired
BBLimS,1,1,26,9,Buyer,108,25,,,,Manual,Expired
BBLimS,1,1,26,2,Seller,73,140,,,,Manual,Expired
BBLimS,1,1,34,5,Seller,83,88,,,,Manual,Expired
BBLimS,1,1,34,6,Buyer,118,15,,,,Manual,Expired
BBLimS,1,1,37,1,Buyer,138,10,,,,Manual,Expired
BBLimS,1,1,41,9,Buyer,108,30,,,,Manual,Expired
BBLimS,1,1,51,2,Seller,73,135,,,,Manual,Expired
BBLimS,1,1,54,1,Buyer,138,1,,,,Manual,Expired
BBLimS,1,1,56,6,Buyer,118,17,,,,Manual,Expired
BBLimS,1,1,59,5,Seller,83,100,,,,Manual,Replaced
BBLimS,1,1,60,9,Buyer,108,34,,,,Manual,Expired
BBLimS,1,1,61,8,Seller,93,150,,,,Manual,Expired
BBLimS,1,1,62,11,Seller,103,103,,,,Manual,Expired
BBLimS,1,1,68,5,Seller,83,99,,,,Manual,Replaced
BBLimS,1,1,71,6,Buyer,118,22,,,,Manual,Expired
BBLimS,1,1,72,2,Seller,73,100,,,,Manual,Expired
BBLimS,1,1,73,8,Seller,93,160,,,,Manual,Expired
BBLimS,1,1,75,5,Seller,83,88,,,,Manual,Replaced
BBLimS,1,1,77,9,Buyer,108,45,,,,Manual,Expired
BBLimS,1,1,79,5,Seller,83,89,,,,Manual,Replaced
BBLimS,1,1,84,5,Seller,83,84,,,,Manual,Replaced
BBLimS,1,1,85,6,Buyer,118,23,,,,Manual,Expired
BBLimS,1,1,86,2,Seller,73,120,,,,Manual,Expired
BBLimS,1,1,89,5,Seller,83,85,,,,Manual,Replaced
BBLimS,1,1,90,8,Seller,93,150,,,,Manual,Expired
BBLimS,1,1,94,5,Seller,83,86,,,,Manual,Replaced
BBLimS,1,1,95,9,Buyer,108,50,,,,Manual,Expired
BBLimS,1,1,96,1,Buyer,138,1,,,,Manual,Expired
BBLimS,1,1,97,5,Seller,83,87,,,,Manual,Replaced
BBLimS,1,1,97,6,Buyer,118,50,,,,Manual,Expired
BBLimS,1,1,100,5,Seller,83,90,,,,Manual,Replaced
BBLimS,1,1,101,10,Buyer,103,75,,,,Manual,Expired
BBLimS,1,1,101,11,Seller,103,103,,,,Manual,Replaced
BBLimS,1,1,103,8,Seller,93,120,,,,Manual,Expired
BBLimS,1,1,103,2,Seller,73,125,,,,Manual,Expired
BBLimS,1,1,104,5,Seller,83,93,,,,Manual,Replaced
BBLimS,1,1,106,9,Buyer,108,60,,,,Manual,Expired
BBLimS,1,1,109,6,Buyer,118,75,,,,Manual,Replaced
BBLimS,1,1,109,5,Seller,83,84,,,,Manual,Replaced
BBLimS,1,1,110,11,Seller,103,103,,,,Manual,Expired
BBLimS,1,1,113,5,Seller,83,83,,,,Manual,Replaced
BBLimS,1,1,115,2,Seller,73,115,,,,Manual,Expired
BBLimS,1,1,115,10,Buyer,103,75,,,,Manual,Expired
BBLimS,1,1,118,5,Seller,83,86,86.0,6.0,118.0,Manual,Accepted
BBLimS,1,1,118,6,Buyer,118,100,86.0,5.0,118.0,Manual,Replaced
BBLimS,1,2,3,7,Buyer,113,80,,,,Manual,Expired
BBLimS,1,2,4,0,Seller,63,85,85.0,3.0,4.0,Manual,Accepted
BBLimS,1,2,4,6,Buyer,118,50,,,,Manual,Expired
BBLimS,1,2,4,3,Buyer,128,105,85.0,0.0,4.0,Manual,Replaced
BBLimS,1,2,5,9,Buyer,108,65,,,,Manual,Expired
BBLimS,1,2,7,8,Seller,93,120,,,,Manual,Expired
BBLimS,1,2,8,1,Buyer,138,1,,,,Manual,Expired
BBLimS,1,2,9,2,Seller,73,90,,,,Manual,Expired
BBLimS,1,2,12,5,Seller,83,100,,,,Manual,Replaced
BBLimS,1,2,14,11,Seller,103,103,,,,Manual,Replaced
BBLimS,1,2,15,7,Buyer,113,85,85.0,2.0,24.0,Manual,Accepted
BBLimS,1,2,17,5,Seller,83,99,,,,Manual,Replaced
BBLimS,1,2,17,6,Buyer,118,51,,,,Manual,Expired
BBLimS,1,2,20,9,Buyer,108,70,,,,Manual,Expired
BBLimS,1,2,21,5,Seller,83,98,,,,Manual,Replaced
BBLimS,1,2,22,4,Seller,78,100,,,,Manual,Replaced
BBLimS,1,2,22,11,Seller,103,103,,,,Manual,Expired
BBLimS,1,2,24,2,Seller,73,80,85.0,7.0,24.0,Manual,Replaced
BBLimS,1,2,25,8,Seller,93,130,,,,Manual,Expired
BBLimS,1,2,27,5,Seller,83,97,,,,Manual,Replaced
BBLimS,1,2,28,6,Buyer,118,50,,,,Manual,Expired
BBLimS,1,2,28,4,Seller,78,99,,,,Manual,Replaced
BBLimS,1,2,32,9,Buyer,108,75,,,,Manual,Expired
BBLimS,1,2,36,4,Seller,78,85,,,,Manual,Replaced
BBLimS,1,2,36,5,Seller,83,90,,,,Manual,Expired
BBLimS,1,2,40,10,Buyer,103,80,80.0,4.0,49.0,Manual,Accepted
BBLimS,1,2,41,8,Seller,93,150,,,,Manual,Expired
BBLimS,1,2,42,6,Buyer,118,60,,,,Manual,Expired
BBLimS,1,2,45,4,Seller,78,83,,,,Manual,Replaced
BBLimS,1,2,46,1,Buyer,138,1,,,,Manual,Expired
BBLimS,1,2,48,9,Buyer,108,80,,,,Manual,Expired
BBLimS,1,2,49,4,Seller,78,80,80.0,10.0,49.0,Manual,Replaced
BBLimS,1,2,53,6,Buyer,118,30,,,,Manual,Expired
BBLimS,1,2,57,8,Seller,93,100,,,,Manual,Expired
BBLimS,1,2,59,5,Seller,83,150,,,,Manual,Expired
BBLimS,1,2,63,9,Buyer,108,85,,,,Manual,Expired
BBLimS,1,2,67,6,Buyer,118,75,,,,Manual,Replaced
BBLimS,1,2,71,6,Buyer,118,74,,,,Manual,Replaced
BBLimS,1,2,73,5,Seller,83,200,,,,Manual,Expired
BBLimS,1,2,75,6,Buyer,118,73,,,,Manual,Replaced
BBLimS,1,2,76,11,Seller,103,103,,,,Manual,Replaced
BBLimS,1,2,77,9,Buyer,108,90,,,,Manual,Expired
BBLimS,1,2,78,6,Buyer,118,72,,,,Manual,Replaced
BBLimS,1,2,78,8,Seller,93,120,,,,Manual,Expired
BBLimS,1,2,81,11,Seller,103,103,,,,Manual,Replaced
BBLimS,1,2,82,6,Buyer,118,71,,,,Manual,Replaced
BBLimS,1,2,85,11,Seller,103,103,,,,Manual,Replaced
BBLimS,1,2,86,6,Buyer,118,70,,,,Manual,Replaced
BBLimS,1,2,89,6,Buyer,118,69,,,,Manual,Replaced
BBLimS,1,2,89,11,Seller,103,103,,,,Manual,Expired
BBLimS,1,2,90,9,Buyer,108,95,,,,Manual,Expired
BBLimS,1,2,93,6,Buyer,118,68,,,,Manual,Replaced
BBLimS,1,2,93,5,Seller,83,195,,,,Manual,Expired
BBLimS,1,2,95,6,Buyer,118,67,,,,Manual,Replaced
BBLimS,1,2,98,6,Buyer,118,66,,,,Manual,Replaced
BBLimS,1,2,99,8,Seller,93,100,,,,Manual,Expired
BBLimS,1,2,100,11,Seller,103,193,,,,Manual,Replaced
BBLimS,1,2,100,6,Buyer,118,65,,,,Manual,Replaced
BBLimS,1,2,102,9,Buyer,108,95,,,,Manual,Expired
BBLimS,1,2,103,6,Buyer,118,75,,,,Manual,Replaced
BBLimS,1,2,107,11,Seller,103,164,,,,Manual,Expired
BBLimS,1,2,109,6,Buyer,118,80,,,,Manual,Replaced
BBLimS,1,2,115,6,Buyer,118,90,,,,Manual,Expired
BBLimS,1,2,117,9,Buyer,108,95,,,,Manual,Expired
BBLimS,1,2,118,8,Seller,93,100,,,,Manual,Expired
BBLimS,1,2,119,1,Buyer,138,1,,,,Manual,Expired
BBLimS,1,2,120,5,Seller,83,122,,,,Manual,Expired
BBLimS,1,3,1,4,Seller,78,99,,,,Manual,Replaced
BBLimS,1,3,3,0,Seller,63,90,90.0,3.0,5.0,Manual,Accepted
BBLimS,1,3,4,7,Buyer,113,80,,,,Manual,Expired
BBLimS,1,3,4,2,Seller,73,200,,,,Manual,Expired
BBLimS,1,3,5,3,Buyer,128,92,90.0,0.0,5.0,Manual,Replaced
BBLimS,1,3,5,8,Seller,93,100,,,,Manual,Expired
BBLimS,1,3,6,4,Seller,78,95,95.0,6.0,7.0,Manual,Accepted
BBLimS,1,3,7,6,Buyer,118,100,95.0,4.0,7.0,Manual,Replaced
BBLimS,1,3,8,9,Buyer,108,95,,,,Manual,Expired
BBLimS,1,3,8,10,Buyer,103,75,,,,Manual,Expired
BBLimS,1,3,12,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,3,15,7,Buyer,113,85,,,,Manual,Expired
BBLimS,1,3,17,5,Seller,83,198,,,,Manual,Expired
BBLimS,1,3,17,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,3,18,2,Seller,73,198,,,,Manual,Expired
BBLimS,1,3,22,11,Seller,103,200,,,,Manual,Expired
BBLimS,1,3,22,8,Seller,93,100,100.0,9.0,27.0,Manual,Accepted
BBLimS,1,3,24,10,Buyer,103,50,,,,Manual,Expired
BBLimS,1,3,27,9,Buyer,108,100,100.0,8.0,27.0,Manual,Replaced
BBLimS,1,3,28,7,Buyer,113,85,,,,Manual,Expired
BBLimS,1,3,28,1,Buyer,138,3,,,,Manual,Expired
BBLimS,1,3,34,2,Seller,73,195,,,,Manual,Expired
BBLimS,1,3,39,10,Buyer,103,90,,,,Manual,Expired
BBLimS,1,3,39,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,3,39,7,Buyer,113,90,,,,Manual,Expired
BBLimS,1,3,45,11,Seller,103,156,,,,Manual,Expired
BBLimS,1,3,49,2,Seller,73,187,,,,Manual,Expired
BBLimS,1,3,50,7,Buyer,113,90,,,,Manual,Expired
BBLimS,1,3,54,10,Buyer,103,45,,,,Manual,Expired
BBLimS,1,3,56,11,Seller,103,198,,,,Manual,Expired
BBLimS,1,3,58,5,Seller,83,172,,,,Manual,Expired
BBLimS,1,3,61,2,Seller,73,182,,,,Manual,Expired
BBLimS,1,3,61,7,Buyer,113,90,,,,Manual,Expired
BBLimS,1,3,68,11,Seller,103,178,,,,Manual,Replaced
BBLimS,1,3,68,10,Buyer,103,100,,,,Manual,Expired
BBLimS,1,3,73,7,Buyer,113,95,,,,Manual,Expired
BBLimS,1,3,74,5,Seller,83,148,,,,Manual,Expired
BBLimS,1,3,74,11,Seller,103,167,,,,Manual,Replaced
BBLimS,1,3,77,2,Seller,73,176,,,,Manual,Expired
BBLimS,1,3,81,11,Seller,103,198,,,,Manual,Expired
BBLimS,1,3,84,7,Buyer,113,95,,,,Manual,Expired
BBLimS,1,3,84,10,Buyer,103,25,,,,Manual,Expired
BBLimS,1,3,88,2,Seller,73,171,,,,Manual,Expired
BBLimS,1,3,91,5,Seller,83,183,,,,Manual,Expired
BBLimS,1,3,95,7,Buyer,113,100,,,,Manual,Expired
BBLimS,1,3,97,10,Buyer,103,60,,,,Manual,Expired
BBLimS,1,3,98,1,Buyer,138,1,,,,Manual,Expired
BBLimS,1,3,102,2,Seller,73,163,,,,Manual,Replaced
BBLimS,1,3,106,7,Buyer,113,105,105.0,2.0,109.0,Manual,Accepted
BBLimS,1,3,106,11,Seller,103,200,,,,Manual,Expired
BBLimS,1,3,109,2,Seller,73,92,105.0,7.0,109.0,Manual,Replaced
BBLimS,1,3,110,5,Seller,83,184,,,,Manual,Replaced
BBLimS,1,3,111,10,Buyer,103,80,,,,Manual,Expired
BBLimS,1,3,116,5,Seller,83,182,,,,Manual,Expired
BBLimS,1,3,116,11,Seller,103,200,,,,Manual,Expired
BBLimS,1,4,1,4,Seller,78,99,,,,Manual,Replaced
BBLimS,1,4,3,7,Buyer,113,80,,,,Manual,Expired
BBLimS,1,4,3,0,Seller,63,90,90.0,6.0,4.0,Manual,Accepted
BBLimS,1,4,4,6,Buyer,118,90,90.0,0.0,4.0,Manual,Replaced
BBLimS,1,4,4,4,Seller,78,95,95.0,9.0,4.0,Manual,Accepted
BBLimS,1,4,4,9,Buyer,108,98,95.0,4.0,4.0,Manual,Replaced
BBLimS,1,4,5,3,Buyer,128,100,100.0,8.0,9.0,Manual,Accepted
BBLimS,1,4,6,2,Seller,73,127,,,,Manual,Expired
BBLimS,1,4,6,1,Buyer,138,45,,,,Manual,Expired
BBLimS,1,4,7,10,Buyer,103,30,,,,Manual,Expired
BBLimS,1,4,9,8,Seller,93,100,100.0,3.0,9.0,Manual,Replaced
BBLimS,1,4,10,5,Seller,83,87,,,,Manual,Replaced
BBLimS,1,4,10,11,Seller,103,200,,,,Manual,Expired
BBLimS,1,4,14,7,Buyer,113,85,,,,Manual,Expired
BBLimS,1,4,14,5,Seller,83,88,,,,Manual,Replaced
BBLimS,1,4,17,5,Seller,83,88,88.0,10.0,21.0,Manual,Accepted
BBLimS,1,4,20,2,Seller,73,126,,,,Manual,Expired
BBLimS,1,4,21,10,Buyer,103,100,88.0,5.0,21.0,Manual,Replaced
BBLimS,1,4,23,11,Seller,103,106,,,,Manual,Replaced
BBLimS,1,4,25,7,Buyer,113,90,,,,Manual,Expired
BBLimS,1,4,26,1,Buyer,138,55,,,,Manual,Expired
BBLimS,1,4,28,11,Seller,103,189,,,,Manual,Expired
BBLimS,1,4,32,2,Seller,73,125,,,,Manual,Expired
BBLimS,1,4,37,7,Buyer,113,95,,,,Manual,Expired
BBLimS,1,4,42,1,Buyer,138,65,,,,Manual,Expired
BBLimS,1,4,43,2,Seller,73,125,,,,Manual,Expired
BBLimS,1,4,44,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,4,48,7,Buyer,113,100,,,,Manual,Expired
BBLimS,1,4,52,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,4,55,2,Seller,73,125,,,,Manual,Expired
BBLimS,1,4,56,1,Buyer,138,70,,,,Manual,Expired
BBLimS,1,4,57,11,Seller,103,200,,,,Manual,Replaced
